"cond","SID","survey_name","item","value"
"other","s126","sharing_narrow","1_sharing_narrow","76"
"self","s127","sharing_narrow","1_sharing_narrow","62"
"self","s130","sharing_narrow","1_sharing_narrow","50"
"self","s132","sharing_narrow","1_sharing_narrow","0"
"other","s133","sharing_narrow","1_sharing_narrow","51"
"other","s134","sharing_narrow","1_sharing_narrow","33"
"other","s136","sharing_narrow","1_sharing_narrow","20"
"other","s137","sharing_narrow","1_sharing_narrow","76"
"other","s139","sharing_narrow","1_sharing_narrow","100"
"other","s140","sharing_narrow","1_sharing_narrow","0"
"self","s141","sharing_narrow","1_sharing_narrow","23"
"self","s143","sharing_narrow","1_sharing_narrow","35"
"self","s145","sharing_narrow","1_sharing_narrow","52"
"self","s146","sharing_narrow","1_sharing_narrow","54"
"self","s147","sharing_narrow","1_sharing_narrow","91"
"self","s149","sharing_narrow","1_sharing_narrow","95"
"other","s150","sharing_narrow","1_sharing_narrow","0"
"self","s151","sharing_narrow","1_sharing_narrow","100"
"other","s153","sharing_narrow","1_sharing_narrow","87"
"self","s155","sharing_narrow","1_sharing_narrow","100"
"other","s156","sharing_narrow","1_sharing_narrow","100"
"self","s157","sharing_narrow","1_sharing_narrow","75"
"other","s159","sharing_narrow","1_sharing_narrow","81"
"self","s160","sharing_narrow","1_sharing_narrow","53"
"self","s161","sharing_narrow","1_sharing_narrow","100"
"other","s163","sharing_narrow","1_sharing_narrow","0"
"other","s166","sharing_narrow","1_sharing_narrow","99"
"self","s167","sharing_narrow","1_sharing_narrow","79"
"self","s168","sharing_narrow","1_sharing_narrow","61"
"other","s170","sharing_narrow","1_sharing_narrow","87"
"self","s172","sharing_narrow","1_sharing_narrow","100"
"other","s177","sharing_narrow","1_sharing_narrow","50"
"self","s178","sharing_narrow","1_sharing_narrow","0"
"self","s184","sharing_narrow","1_sharing_narrow","49"
"other","s185","sharing_narrow","1_sharing_narrow","0"
"self","s186","sharing_narrow","1_sharing_narrow","47"
"self","s187","sharing_narrow","1_sharing_narrow","0"
"other","s189","sharing_narrow","1_sharing_narrow","0"
"other","s191","sharing_narrow","1_sharing_narrow","100"
"self","s192","sharing_narrow","1_sharing_narrow","57"
"self","s193","sharing_narrow","1_sharing_narrow","61"
"self","s194","sharing_narrow","1_sharing_narrow","1"
"self","s195","sharing_narrow","1_sharing_narrow","0"
"self","s196","sharing_narrow","1_sharing_narrow","57"
"other","s197","sharing_narrow","1_sharing_narrow","2"
"self","s198","sharing_narrow","1_sharing_narrow","94"
"self","s200","sharing_narrow","1_sharing_narrow","86"
"other","s201","sharing_narrow","1_sharing_narrow","27"
"self","s202","sharing_narrow","1_sharing_narrow","83"
"other","s204","sharing_narrow","1_sharing_narrow","9"
"other","s205","sharing_narrow","1_sharing_narrow","0"
"other","s206","sharing_narrow","1_sharing_narrow","83"
"self","s207","sharing_narrow","1_sharing_narrow","0"
